number,address,percentage,functonName1,times1,functonName2,times2,functonName3,times3
56,0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,1.0,makeWallet,9998,logSweep,1,nan,1
57,0x5f65f7b609678448494de4c87521cdf6cef1e932,0.999,nan,5456,transferERC20,4333,transferEther,201
58,0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439,1.0,transfer,9954,approve,44,nan,2
59,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,1.0,releaseDeed,10000,,,,
60,0x1522900b6dafac587d499a862861c0869be6e428,1.0,flushForwarderTokens,3897,sendMultiSigToken,3521,sendMultiSig,2582
61,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0.9994,transfer,8850,approve,832,transferAndCall,312
62,0x03df4c372a29376d2c8df33a1b5f001cd8d68b0e,0.9991,Mine,9826,transfer,113,approve,52
63,0x9e9801bace260f58407c15e6e515c45918756e0f,1.0,transfer,10000,,,,
64,0x1111111254fb6c44bac0bed2854e76f90643097d,0.9708,nan,4347,unoswap,3728,uniswapV3Swap,1633
65,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,1.0,transfer,8595,approve,954,transferFrom,451
66,0x0e50e6d6bb434938d8fe670a2d7a14cd128eb50f,1.0,transfer,9997,approve,2,nan,1
67,0x98ad263a95f1ab1abff41f4d44b07c3240251a0a,1.0,nan,6604,receive,3342,play,54
68,0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,0.9999,transfer,9994,approve,3,nan,2
69,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0.9998,transfer,8580,approve,872,transferFrom,546
70,0x78a55b9b3bbeffb36a43d9905f654d2769dc55e8,1.0,delegate,9972,nan,28,,
71,0xbcf935d206ca32929e1b887a07ed240f0d8ccd22,0.9999,regUser,5175,buyLevel,4448,nan,376
72,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,0.9995,bid,8786,cancelAuction,1201,nan,8
73,0x0000000000085d4780b73119b644ae5ecd22b376,0.9581,transfer,7765,approve,982,transferFrom,834
74,0xcadb96858fe496bb6309622f9023ba2defb5d540,1.0,transfer,9983,approve,17,,
75,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,1.0,transfer,7459,transferFrom,1519,approve,1022
